,address,decimal
0,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
1,0x3BA4c387f786bFEE076A58914F5Bd38d668B42c3,18
2,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
3,0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7,18
4,0x0000000000000000000000000000000000001010,18
5,0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec,18
6,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
7,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
8,0xb33eaad8d922b1083446dc23f610c2567fb5180f,18
9,0x06d02e9d62a13fc76bb229373fb3bbbd1101d2fc,18
10,0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b,18
11,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18
12,0xb0897686c545045afc77cf20ec7a532e3120e0f1,18
13,0x2e1ad108ff1d8c782fcbbb89aad783ac49586756,18
14,0xc3c7d422809852031b44ab29eec9f1eff2a58756,18
15,0xada58df0f643d959c2a47c9d4d4c1a4defe3f11c,8
16,0x6f7C932e7684666C9fd1d44527765433e01fF61d,18
17,0x0266F4F08D82372CF0FcbCCc0Ff74309089c74d1,18
18,0x5fe2b58c013d7601147dcdd68c143a77499f5531,18
19,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18
20,0x45c32fa6df82ead1e2ef74d17b76547eddfaff89,18
21,0xffa4d863c96e743a2e1513824ea006b8d0353c57,18
22,0xBbba073C31bF03b8ACf7c28EF0738DeCF3695683,18
23,0x50b728d8d964fd00c2d0aad81718b71311fef68a,18
24,0xb46e0ae620efd98516f49bb00263317096c114b2,18
25,0x4e8dc2149eac3f3def36b1c281ea466338249371,18
26,0xB7b31a6BC18e48888545CE79e83E06003bE70930,18
27,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4,18
28,0xc9c1c1c20b3658f8787cc2fd702267791f224ce1,18
29,0x61299774020da444af134c82fa83e3810b309991,18
30,0x7205705771547cf79201111b4bd8aaf29467b9ec,18
31,0x6f3b3286fd86d8b47ec737ceb3d0d354cc657b3e,18
32,0x553d3d295e0f695b9228246232edf400ed3560b5,18
33,0xf1938ce12400f9a761084e7a80d37e732a4da056,18
34,0x172370d5cd63279efa6d502dab29171933a610af,18
35,0x1a3acf6d19267e2d3e7f898f42803e90c9219062,18
36,0xee327f889d5947c1dc1934bb208a1e792f953e96,18
37,0xfad65eb62a97ff5ed91b23afd039956aaca6e93b,18
38,0xc8a94a3d3d2dabc3c1caffffdca6a7543c3e3e65,2
39,0x41b3966b4ff7b427969ddf5da3627d6aeae9a48e,18
40,0x6d1fdbb266fcc09a16a22016369210a15bb95761,18
41,0x1b815d120b3ef02039ee11dc2d33de7aa4a8c603,18
42,0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c,18
43,0xcb059c5573646047d6d88dddb87b745c18161d3b,18
44,0x5ffd62d3c3ee2e81c00a7b9079fb248e7df024a8,18
45,0x3cef98bb43d732e2f285ee605a8158cde967d219,18
46,0x6abb753c1893194de4a83c6e8b4eadfc105fd5f5,18
